Num,Cn,Syllables,Equation,IsMath
916,九一六,3,916,False
917,九一七,3,917,False
918,九一八,3,918,False
919,九一九,3,919,False
920,九百二,3,920,False
921,九二一,3,921,False
922,九二二,3,922,False
923,九二三,3,923,False
924,九二四,3,924,False
925,九二五,3,925,False
926,九二六,3,926,False
927,九二七,3,927,False
928,九二八,3,928,False
929,九二九,3,929,False
930,九百三,3,930,False
931,九三一,3,931,False
932,九三二,3,932,False
933,九三三,3,933,False
934,九三四,3,934,False
935,九三五,3,935,False
936,九三六,3,936,False
937,九三七,3,937,False
938,九三八,3,938,False
939,九三九,3,939,False
940,九百四,3,940,False
941,九四一,3,941,False
942,九四二,3,942,False
943,九四三,3,943,False
944,九四四,3,944,False
945,九四五,3,945,False
946,九四六,3,946,False
947,九四七,3,947,False
948,九四八,3,948,False
949,九四九,3,949,False
950,九百五,3,950,False
951,九五一,3,951,False
952,九五二,3,952,False
953,九五三,3,953,False
954,九五四,3,954,False
955,九五五,3,955,False
956,九五六,3,956,False
957,九五七,3,957,False
958,九五八,3,958,False
959,九五九,3,959,False
960,九百六,3,960,False
961,九六一,3,961,False
962,九六二,3,962,False
963,九六三,3,963,False
964,九六四,3,964,False
965,九六五,3,965,False
966,九六六,3,966,False
967,九六七,3,967,False
968,九六八,3,968,False
969,九六九,3,969,False
970,九百七,3,970,False
971,九七一,3,971,False
972,九七二,3,972,False
973,九七三,3,973,False
974,九七四,3,974,False
975,九七五,3,975,False
976,九七六,3,976,False
977,九七七,3,977,False
978,九七八,3,978,False
979,九七九,3,979,False
980,九百八,3,980,False
981,九八一,3,981,False
982,九八二,3,982,False
983,九八三,3,983,False
984,九八四,3,984,False
985,九八五,3,985,False
986,九八六,3,986,False
987,九八七,3,987,False
988,九八八,3,988,False
989,九八九,3,989,False
990,九百九,3,990,False
991,九九一,3,991,False
992,九九二,3,992,False
993,九九三,3,993,False
994,九九四,3,994,False
995,九九五,3,995,False
996,九九六,3,996,False
997,九九七,3,997,False
998,九九八,3,998,False
999,九九九,3,999,False
1000,千,1,1000,False
1001,一加千,3,1+1000,True
1002,二加千,3,2+1000,True
1003,三加千,3,3+1000,True
1004,四加千,3,4+1000,True
1005,五加千,3,5+1000,True
1006,六加千,3,6+1000,True
1007,七加千,3,7+1000,True
1008,八加千,3,8+1000,True
1009,九加千,3,9+1000,True
1010,十加千,3,10+1000,True
1011,一零一一,4,1011,False
1012,一零一二,4,1012,False
1013,一零一三,4,1013,False
1014,一零一四,4,1014,False
1015,一零一五,4,1015,False
1016,一零一六,4,1016,False
1017,一零一七,4,1017,False
1018,一零一八,4,1018,False
1019,一零一九,4,1019,False
1020,廿加千,3,20+1000,True
1021,一零二一,4,1021,False
1022,一零二二,4,1022,False
1023,一零二三,4,1023,False
1024,卅二平,3,(32)^2,True
1025,一零二五,4,1025,False
1026,一零二六,4,1026,False
1027,一零二七,4,1027,False
1028,一零二八,4,1028,False
1029,一零二九,4,1029,False
1030,卅加千,3,30+1000,True
1031,一零三一,4,1031,False
1032,一零三二,4,1032,False
1033,一零三三,4,1033,False
1034,一零三四,4,1034,False
1035,一零三五,4,1035,False
1036,一零三六,4,1036,False
1037,一零三七,4,1037,False
1038,一零三八,4,1038,False
1039,一零三九,4,1039,False
1040,卌加千,3,40+1000,True
1041,一零四一,4,1041,False
1042,一零四二,4,1042,False
1043,一零四三,4,1043,False
1044,一零四四,4,1044,False
1045,一零四五,4,1045,False
1046,一零四六,4,1046,False
1047,一零四七,4,1047,False
1048,一零四八,4,1048,False
1049,一零四九,4,1049,False
1050,一零五零,4,1050,False
1051,一零五一,4,1051,False
1052,一零五二,4,1052,False
1053,一零五三,4,1053,False
1054,一零五四,4,1054,False
1055,一零五五,4,1055,False
1056,一零五六,4,1056,False
1057,一零五七,4,1057,False
1058,一零五八,4,1058,False
1059,一零五九,4,1059,False
1060,一零六零,4,1060,False
1061,一零六一,4,1061,False
1062,一零六二,4,1062,False
1063,一零六三,4,1063,False
1064,一零六四,4,1064,False
1065,一零六五,4,1065,False
1066,一零六六,4,1066,False
1067,一零六七,4,1067,False
1068,一零六八,4,1068,False
1069,一零六九,4,1069,False
1070,一零七零,4,1070,False
1071,一零七一,4,1071,False
1072,一零七二,4,1072,False
1073,一零七三,4,1073,False
1074,一零七四,4,1074,False
1075,一零七五,4,1075,False
1076,一零七六,4,1076,False
1077,一零七七,4,1077,False
1078,一零七八,4,1078,False
1079,一零七九,4,1079,False
1080,一零八零,4,1080,False
1081,一零八一,4,1081,False
1082,一零八二,4,1082,False
1083,一零八三,4,1083,False
1084,一零八四,4,1084,False
1085,一零八五,4,1085,False
1086,一零八六,4,1086,False
1087,一零八七,4,1087,False
1088,一零八八,4,1088,False
1089,卅三平,3,(33)^2,True
1090,一零九零,4,1090,False
1091,一零九一,4,1091,False
1092,一零九二,4,1092,False
1093,一零九三,4,1093,False
1094,一零九四,4,1094,False
1095,一零九五,4,1095,False
1096,一零九六,4,1096,False
1097,一零九七,4,1097,False
1098,一零九八,4,1098,False
1099,一零九九,4,1099,False
1100,千一,2,1100,False
1101,一一零一,4,1101,False
1102,一一零二,4,1102,False
1103,一一零三,4,1103,False
1104,一一零四,4,1104,False
1105,一一零五,4,1105,False
1106,一一零六,4,1106,False
1107,一一零七,4,1107,False
1108,一一零八,4,1108,False
1109,一一零九,4,1109,False
1110,一一一零,4,1110,False
1111,四个一,3,1111,False
1112,一一一二,4,1112,False
1113,一一一三,4,1113,False
1114,一一一四,4,1114,False
1115,一一一五,4,1115,False
1116,一一一六,4,1116,False
1117,一一一七,4,1117,False
1118,一一一八,4,1118,False
1119,一一一九,4,1119,False
1120,一一二零,4,1120,False
1121,一一二一,4,1121,False
1122,一一二二,4,1122,False
